Codice_azienda;Anno;Tipo_olio;Categoria_olio;Mediana_fruttato;CVR_Fruttato;Presenza_difetti;Mediana_amaro;CVR_amaro;Mediana_piccante;CVR_piccante
AV_01;2020;massa_ultima;extra_vergine;5,2;ok;no;3,3;ok;3,6;ok
AV_02;2020;massa_ultima;extra_vergine;6,2;ok;no;4;ok;4,2;ok
AV_03;2020;massa_ultima;extra_vergine;5;ok;no;4,5;ok;4,8;ok
AV_04;2020;;;;;;;;;
AV_05;2020;massa_ultima;extra_vergine;4,1;ok;no;3,4;ok;3,5;ok
AV_06;2020;massa_ultima;extra_vergine;3,5;ok;no;;;;
BN_01;2020;massa_ultima;extra_vergine;4,3;ok;no;2;ok;2,3;ok
BN_02;2020;massa_ultima;extra_vergine;4,1;ok;no;2,7;ok;2,7;ok
BN_03;2020;;;;;;;;;
BN_04;2020;massa_ultima;extra_vergine;3,3;ok;no;1,9;ok;1,5;ok
BN_05;2020;massa_ultima;extra_vergine;4;ok;no;2,5;ok;3,2;ok
CE_01;2020;massa_ultima;extra_vergine;4,5;ok;no;2,6;ok;2,6;ok
CE_02;2020;massa_ultima;lampante;1;ok;si;;;;
CE_03;2020;massa_ultima;extra_vergine;4;ok;no;3;ok;3;ok
NA_01;2020;massa_ultima;extra_vergine;3,5;ok;no;3,5;ok;2,7;ok
NA_02;2020;massa_ultima;vergine;1,5;ok;si;;;;
SA_01;2020;massa_ultima;extra_vergine;3,2;ok;no;2;ok;2;ok
SA_02;2020;denocciolato;extra_vergine;3,8;ok;no;;;;
SA_02;2020;massa_ultima;extra_vergine;3,3;ok;no;;;;
SA_03;2020;massa_ultima;vergine;1,7;ok;si;;;;
SA_04;2020;massa_ultima;extra_vergine;3,8;ok;no;2,5;ok;2,5;ok
SA_05;2020;;;;;;;;;
SA_06;2020;massa_ultima;extra_vergine;2,7;ok;no;2,4;ok;2;ok
SA_07;2020;massa_ultima;extra_vergine;3,5;ok;no;2,5;ok;2;ok
SA_08;2020;;;;;;;;;
SA_09;2020;massa_ultima;vergine;2,2;ok;si;;;;
SA_10;2020;massa_ultima;extra_vergine;3,5;ok;no;2,6;ok;3;ok
