PEAK;Ttr;II_tr;Compounds;M_H;SA_01_R2;SA_02_R2;SA_03_R2;SA_04_R2;SA_05_R2;SA_06_R2;SA_07_R2;SA_08_R2;SA_09_R2;SA_10_R2;NA_01_R2;NA_02_R2;AV_01_R2;AV_02_R2;AV_03_R2;AV_04_R2;AV_05_R2;AV_06_R2;BN_01_R2;BN_02_R2;BN_03_R2;BN_04_R2;BN_05_R2;CE_01_R2;CE_02_R2;CE_03_R2;SA_02_R1;AV_06_R1;NA_01_R1;CE_01_R1;AV_01_R1_EXT;AV_01_R2_EXT;SA_04_R2_EXO;AV_05_R2_EXO;SA_02_R1_DR;SA_02_R2_DR;AV_06_R1_DR;AV_06_R2_DR
1;9,206;0,206;Gallic_acid;169;5,71;5,37;5,11;6,04;6,45;4,95;5,12;5,16;8,23;7,13;4,7;4,9;4,83;4,66;1,28;0,8;5,61;6,24;6,07;-1;4,29;32,05;5,22;5,15;6,41;3,9;0;0;0;2,9;2,26;5,02;10,57;8,95;6,75;4,48;4,39;4,63
2;10,197;0,197;Hydroxytyrosol_elenolate;391;51,58;61,23;82,46;81,85;140,45;63,35;79,21;51,23;79,88;99,43;26,47;45,82;43,2;40,69;12,53;14,66;54,08;56,58;72,8;58,69;36,75;8,46;63,08;52,74;43,19;23,04;9,2;18,69;21,29;15,44;23,41;34,46;36,53;40,67;45,11;37,13;51,59;45,68
3;11,515;0,515;Hydroxytyrosol_4_O_glucoside;315;33,9;22,2;31,74;31,64;82,02;144,32;118,51;255,21;221,96;8,72;-1;79,81;0,56;10,12;123,65;14,55;32,64;118,43;10,75;63,15;18,58;5,76;29,94;46,74;253,9;30,57;88;11,37;39,24;6,81;0,61;9,33;31,32;10,38;4,69;9,22;12,24;48,43
4;11,548;0,548;Hydroxytyrosol;153;5,19;21,1;9,95;22;3,18;25,39;17,26;6,92;31,35;-1;3,37;-1;3,28;-1;-1;48,45;1,67;30,77;13,66;-1;13,45;23,95;5,66;0,4;-1;3,63;12,36;9,51;4,88;3,99;2,53;2;-1;-1;12,58;10,63;5,03;6,2
5;11,678;0,678;Secologanol;389;105,3;0;0;0;0;55,41;0;0;0;366,45;0;0;0;0;0;0;53,1;0;0;0;0;0;0;49,63;59,31;0;0;0;16,32;0;0;0;0;150,99;63,44;47,24;43,25;236,32
6;11,698;0,698;Elenolic_acid_glucoside;241;47,11;49,34;144,88;59,64;446,91;56,42;54,5;62,51;219,4;44,73;10,84;38,91;66,69;38,47;82,57;6,45;36,02;47,13;58,49;49,55;8,04;33,1;52,2;48,38;18,34;32,88;22,13;16,3;13,49;21,47;30,19;29,14;14,71;15,85;34,1;20,99;26,94;44,93
7;11,91;0,91;Demethyloleuropein;525;535,94;416,85;266,78;783,85;4048,27;25,31;60,45;23,83;1639,06;25,45;21,93;16,27;57,83;30,86;320,11;30,38;646,35;710,84;24,88;122,27;558,49;869,19;599,78;5,79;1093,25;861,22;8,69;19,13;424,57;6,13;231,17;1138,15;10,74;20,08;1115,33;772,41;1704,93;142,36
8;11,953;0,953;Verbascoside;623;45,15;50,75;49,67;38,73;339,24;15,93;8,77;10,71;10,15;113,02;9,84;7,58;53,62;36,72;81,82;43,49;46,2;54,78;12,37;8,8;28,92;31,79;20,38;17,9;298,18;227,49;46,75;56,3;4,38;4,8;5,76;28,67;14,76;14,26;31,44;28,38;120,5;7,14
9;12,385;0,385;Oleoside;389;74,69;47,04;258,24;141,69;200,19;341,26;106,62;113,34;623,5;94,01;206,93;49,17;110,97;52,28;551,31;424,54;59,5;24,77;105,75;216,86;82,51;103,86;313,98;166,86;191,08;103,25;123,79;27,24;68,94;40,93;76,02;28,56;143,2;155,42;135,89;92,05;248,83;78,93
10;12,545;0,545;Elenolic_acid_glucoside;241;10,4;15,8;19,55;33,93;22,11;35,54;27,42;11,34;43,58;17,89;12,32;17,33;13,44;13;3,73;51,43;11,58;40,93;11,33;27,29;21,91;33,19;26,56;10,03;35,84;28,71;17,17;14,26;5,85;4,59;10,28;10,82;34,28;29,12;8,99;18,92;40,08;18,39
