PEAK;Ttr;II_tr;Compounds;M_H;CTL_1_R2;CTL_2_R2;SA_02_R2_frantoio;CE_02_R2;NA_01_R2;NA_02_R2;SA_01_R2;SA_03_R2;SA_04_R2;SA_05_R2;SA_06_R2;SA_07_R2;SA_10_R2;BN_02_R2;BN_05_R2;AV_01_R2;AV_03_R2;BN_04_R2;SA_09_R2;BN_01_R2;SA_02_R2_olio;SA_02_R2_denocciolato;CTL_3_R2;CTL_4_R2;CTL_5_R2;ER_01_R2;ES_01_R2;ET_01_R2
1;9,206;0,206;Gallic_acid;169;8,95;10,18;10,43;8,83;9,15;9,89;8,69;8,96;8,81;8,9;8,9;8,78;9,02;8,88;0;0;0;9,04;11,22;9,19;9,22;9,58;19,79;22,07;8,94;9,27;7,43;8,12
2;10,197;0,197;Hydroxytyrosol_elenolate;391;14,75;13,94;26,77;30,26;22,17;12,82;21,67;22,6;10,57;22,59;12,8;24,85;25,31;39,81;22,79;22,69;22,69;27,4;22,43;15,84;26,52;85,75;36,73;48,5;32,47;9,27;7,69;11,3
3;11,515;0,515;Hydroxytyrosol_4_O_glucoside;315;-1;-1;-1;5,22;1,89;0;0;0;-1;0;0;0;-1;-1;-1;0;-1;-1;0;0;-1;-1;-1;-1;11,49;0;0;0
4;11,548;0,548;Hydroxytyrosol;153;0;11,25;43,42;10,4;1,82;1,7;1,12;1,83;6,05;0;9,36;11,13;0,71;63,32;-1;-1;-1;5,98;0,43;2,03;1,61;0,97;68,08;72,78;61,6;2,63;-1;3,59
5;11,678;0,678;Secologanol;389;0;0;21,65;15,66;11,58;10,65;10,68;9,22;11,4;9,01;11,54;0;9,96;42,79;16,49;0;0;10,03;0;9,11;11,53;11,05;10,31;9,07;19,86;10,68;0;0
6;11,698;0,698;Elenolic_acid_glucoside;241;0;16,69;14,86;14,97;0;14,67;14,64;14,16;14,61;14,18;14,92;0;15,28;22,38;15,55;0;0;15,45;0;14,17;14,61;14,48;16,28;30,88;15,59;14,18;0;0
7;11,91;0,91;Demethyloleuropein;525;0;15,5;9,03;8,96;0;0;0;9,73;0;9,05;9,45;9;0;9,4;0;0;0;9,17;0;15,64;0;0;11,13;9,72;9,2;8,96;0;7,57
8;11,953;0,953;Verbascoside;623;0;14,23;14,29;14,22;0;0;0;14,16;0;15,1;14,18;0;0;14,47;0;0;0;0;0;23,61;0;0;14,51;14,45;14,17;0;0;0
9;12,385;0,385;Oleoside;389;10,2;12,75;84,65;9,57;0;10,66;11,56;12,07;11,74;11,49;9,22;31,14;10,86;0;12,58;0;0;12,04;0;48,14;14,48;14,69;0;0;0;11,46;9,67;8,43
10;12,545;0,545;Elenolic_acid_glucoside;241;0;0;14,16;14,81;0;18,33;-1;18,26;0;22,03;17,31;19;17,66;14,85;20,5;0;0;14,22;0;0;14,3;14,48;15,61;14,68;18,23;16,98;13,4;12,09
