Codice_azienda;N_campionamento;Anno;ID_oliva;Rapporto_volume_mesocarpo;Rapporto_lunghezza;Rapporto_larghezza
AV_01;R2;2020;1;0,890042689;1,423285985;2,284313725
AV_01;R2;2020;2;0,846936568;1,414831227;2,07
AV_01;R2;2020;3;0,856264872;1,3541813;2,16
AV_02;R2;2020;1;0,891323702;1,334467421;2,295918367
AV_02;R2;2020;2;0,89694933;1,411003214;2,424242424
AV_02;R2;2020;3;0,88897761;1,462513524;2,552083333
AV_03;R2;2020;1;0,810443828;1,252243728;1,933333333
AV_03;R2;2020;2;0,783667305;1,25678305;1,838461538
AV_03;R2;2020;3;0,810328077;1,257316036;1,81512605
AV_04;R2;2020;1;0,842727854;1,308776211;2,072916667
AV_04;R2;2020;2;0,885362602;1,348381536;2,162790698
AV_04;R2;2020;3;0,861293676;1,31732435;2,113636364
AV_05;R2;2020;1;0,781649919;1,319021203;1,892561983
AV_05;R2;2020;2;0,814028878;1,145287356;1,914529915
AV_05;R2;2020;3;0,774792334;1,29649192;1,791666667
AV_06;R2;2020;1;0,865798188;1,56164188;2,093457944
AV_06;R2;2020;2;0,81480444;1,289120582;1,936363636
AV_06;R2;2020;3;0,870157085;1,430795507;2,188118812
BN_01;R2;2020;1;0,867190605;1,400376753;2,163461538
BN_01;R2;2020;2;0,826554471;1,233724937;2
BN_01;R2;2020;3;0,798187537;1,160033345;1,943396226
BN_02;R2;2020;1;0,788574544;1,318529848;1,920792079
BN_02;R2;2020;2;0,773124697;1,260384969;1,909090909
BN_02;R2;2020;3;0,78274005;1,296874167;1,787037037
BN_03;R2;2020;1;0,922677065;1,864935294;2,558823529
BN_03;R2;2020;2;0,904004798;1,52439376;2,444444444
BN_03;R2;2020;3;0,896155809;1,619892597;2,511627907
BN_04;R2;2020;1;0,869348252;1,343731044;2,282352941
BN_04;R2;2020;2;0,876099479;1,348890711;2,272727273
BN_04;R2;2020;3;0,860979151;1,297002051;2,170454545
BN_05;R2;2020;1;0,795712127;1,233415375;1,848214286
BN_05;R2;2020;2;0,883434259;1,320576336;2,302083333
BN_05;R2;2020;3;0,87660275;1,286766399;2,182692308
CE_01;R2;2020;1;0,821813284;1,376853374;1,991803279
CE_01;R2;2020;2;0,817487431;1,297757393;1,915966387
CE_01;R2;2020;3;0,859158236;1,509813165;2,238095238
CE_02;R2;2020;1;0,886751576;1,405791718;2,471910112
CE_02;R2;2020;2;0,902039713;1,582678025;2,330097087
CE_02;R2;2020;3;0,890307812;1,493175879;2,295238095
CE_03;R2;2020;1;0,838461535;1,588602832;1,983739837
CE_03;R2;2020;2;0,825015954;1,542773638;1,808333333
CE_03;R2;2020;3;0,803018691;1,414095586;1,836065574
NA_01;R2;2020;1;0,887996255;1,477086589;2,294736842
NA_01;R2;2020;2;0,876054537;1,476529277;2,255102041
NA_01;R2;2020;3;0,847868857;1,291448593;2,041237113
NA_02;R2;2020;1;0,894170878;1,445114394;2,38
NA_02;R2;2020;2;0,848821706;1,369405007;2,12371134
NA_02;R2;2020;3;0,888175529;1,554992689;2,255102041
SA_01;R2;2020;1;0,767586834;1,254949157;1,641025641
SA_01;R2;2020;2;0,777307902;1,128898378;1,93
SA_01;R2;2020;3;0,787853574;1,253261077;1,782608696
SA_02;R2;2020;1;0,782558779;1,202035458;1,740740741
SA_02;R2;2020;2;0,847694991;1,377426943;1,819548872
SA_02;R2;2020;3;0,797892957;1,374139412;1,9
SA_03;R2;2020;1;0,8601857;1,313403928;2,151260504
SA_03;R2;2020;2;0,843648838;1,379378856;2,070175439
SA_03;R2;2020;3;0,909204585;1,620554579;2,481481481
SA_04;R2;2020;1;0,741049088;1,203996667;1,688
SA_04;R2;2020;2;0,789231112;1,265623559;1,859375
SA_04;R2;2020;3;0,704381057;1,220268078;1,582677165
SA_05;R2;2020;1;0,830069108;1,345241594;1,93495935
SA_05;R2;2020;2;0,767067106;1,278170003;1,674796748
SA_05;R2;2020;3;0,77898809;1,217299906;1,859813084
SA_06;R2;2020;1;0,855253175;1,382683438;2,137614679
SA_06;R2;2020;2;0,840023707;1,307380223;2,071428571
SA_06;R2;2020;3;0,830463902;1,298860452;1,980392157
SA_07;R2;2020;1;0,735772989;1,184719273;1,680672269
SA_07;R2;2020;2;0,834651722;1,251381642;2,038095238
SA_07;R2;2020;3;0,817459098;1,365488292;1,898305085
SA_08;R2;2020;1;0,804089557;1,363533721;1,968253968
SA_08;R2;2020;2;0,802032318;1,230469979;1,960784314
SA_08;R2;2020;3;0,74356001;1,184438988;1,647619048
SA_09;R2;2020;1;0,758995785;1,230048986;1,736363636
SA_09;R2;2020;2;0,792078844;1,241261397;1,935185185
SA_09;R2;2020;3;0,698345149;1,221547119;1,607142857
SA_10;R2;2020;1;0,875540369;1,497539373;2,174311927
SA_10;R2;2020;2;0,859099045;1,554566625;1,949152542
SA_10;R2;2020;3;0,858361449;1,442632187;1,926605505
