Codice_azienda;N_campionamento;Anno;ID_oliva;Volume_(cm3);Area_superficie_(cm2);Lunghezza_(mm);Larghezza_(mm);Forma_(L/W);Forma_(IOC);Sfericità;Volume_mesocarpo_(cm3);Coefficiente_asimmetria;Asimmetria_(IOC);Posizione_MTD_(%L);Posizione_MTD_(IOC)
AV_01;R2;2020;1;4,0071;12,9384;2,6288;1,6495;1,5936;elongated;0,86469018;3,571062051;0,75;slightly asymmetric;-1,81710712;towards base
AV_01;R2;2020;2;2,4668;9,1754;2,2443;1,4615;1,5356;elongated;0,88413138;2,091749855;0,47;asymmetric;-2,359310253;towards base
AV_01;R2;2020;3;2,9418;10,4591;2,3845;1,5271;1,5615;elongated;0,87232375;2,521368438;0,86;symmetric;-2,164229282;towards base
AV_02;R2;2020;1;4,0512;13,028;2,7845;1,6118;1,7275;elongated;0,86209378;3,616381983;0,54;slightly asymmetric;-0,633866044;central
AV_02;R2;2020;2;4,1598;13,0577;2,6702;1,7166;1,5555;elongated;0,87944156;3,735046406;0,67;slightly asymmetric;-0,381993858;central
AV_02;R2;2020;3;3,9362;12,5916;2,5328;1,695;1,4943;elongated;0,87087068;3,513016822;0,49;asymmetric;-0,965525412;central
AV_03;R2;2020;1;2,4896;9,1638;2,1498;1,4453;1,4875;elongated;0,89237918;2,019232263;0,76;slightly asymmetric;-0,241882966;central
AV_03;R2;2020;2;2,5545;9,3122;2,1324;1,4898;1,4313;ovoid;0,89063794;2,004110366;0,89;symmetric;-2,201464514;towards base
AV_03;R2;2020;3;2,124;8,2599;2,0324;1,4032;1,4484;ovoid;0,88696392;1,723124252;0,71;slightly asymmetric;-1,589254084;central
AV_04;R2;2020;1;4,5014;13,7743;2,7886;1,7091;1,6316;elongated;0,87894965;3,798666155;0,63;slightly asymmetric;-2,811446604;towards base
AV_04;R2;2020;2;3,9611;12,7012;2,6884;1,6478;1,6315;elongated;0,87466888;3,512148519;0,46;asymmetric;-0,406777131;central
AV_04;R2;2020;3;3,5415;11,6892;2,5153;1,6235;1,5493;elongated;0,88307701;3,054363802;0,4;asymmetric;-2,778883669;towards base
AV_05;R2;2020;1;2,2999;8,7163;2,0028;1,4505;1,3808;ovoid;0,88564874;1,799284737;0,64;slightly asymmetric;-1,542162573;central
AV_05;R2;2020;2;2,2701;8,6495;2,0382;1,421;1,4343;ovoid;0,88563134;1,850659207;0,96;symmetric;-1,063724275;central
AV_05;R2;2020;3;2,0114;7,9424;1,9969;1,3653;1,4626;elongated;0,88968221;1,560594551;0,78;slightly asymmetric;-0,403407667;central
AV_06;R2;2020;1;2,2358;8,5053;2,1078;1,4409;1,4628;elongated;0,89215624;1,938476844;0,44;asymmetric;-1,404307809;central
AV_06;R2;2020;2;2,015;8,0446;2,01;1,3625;1,4752;elongated;0,88151199;1,643967613;0,81;symmetric;-0,3165511;central
AV_06;R2;2020;3;2,0301;7,937;1,9308;1,4206;1,3592;ovoid;0,89394402;1,768185236;0,92;symmetric;-1,79762401;central
BN_01;R2;2020;1;3,5153;11,8195;2,5972;1,5632;1,6615;elongated;0,86986728;3,050684998;0,65;slightly asymmetric;-1,482365625;central
BN_01;R2;2020;2;3,3784;11,5747;2,7637;1,5316;1,8044;elongated;0,86326;2,795425324;0,7;slightly asymmetric;-3,001411152;towards base
BN_01;R2;2020;3;2,7063;9,8755;2,4071;1,443;1,6682;elongated;0,87125185;2,162419976;0,61;slightly asymmetric;-3,379585393;towards base
BN_02;R2;2020;1;2,0829;8,2137;2,0895;1,3613;1,5349;elongated;0,87949042;1,644653532;0,62;slightly asymmetric;0,772923668;central
BN_02;R2;2020;2;2,6211;9,7094;2,3277;1,4506;1,6046;elongated;0,86384091;2,029109081;0,42;asymmetric;-1,574515616;central
BN_02;R2;2020;3;2,1568;8,4459;2,1049;1,381;1,5242;elongated;0,87502066;1,690695875;0,38;asymmetric;-1,168979282;central
BN_03;R2;2020;1;3,3625;11,2314;2,1431;1,6956;1,2639;ovoid;0,88599759;3,105424133;0,83;symmetric;-0,567359328;central
BN_03;R2;2020;2;2,0825;8,0764;1,8577;1,409;1,3185;ovoid;0,89640515;1,885223649;0,82;symmetric;-1,233791104;central
BN_03;R2;2020;3;1,7291;7,1172;1,6799;1,3713;1,225;spherical;0,89576759;1,551584626;0,96;symmetric;-0,235133044;central
BN_04;R2;2020;1;4,6962;14,4351;3,041;1,664;1,8275;elongated;0,86180866;4,087932129;0,56;slightly asymmetric;-2,091417297;towards base
BN_04;R2;2020;2;4,6683;14,2892;2,935;1,7296;1,697;elongated;0,86441914;4,095465298;0,43;asymmetric;-2,875638842;towards base
BN_04;R2;2020;3;4,2552;13,6779;3,0783;1,6711;1,8421;elongated;0,8490121;3,668793984;0,47;asymmetric;-2,629178341;towards base
BN_05;R2;2020;1;2,2358;8,6909;2,2948;1,3529;1,6962;elongated;0,87195371;1,781545945;0,54;slightly asymmetric;-2,420482349;towards base
BN_05;R2;2020;2;2,8678;10,2141;2,3847;1,5187;1,5702;elongated;0,87698766;2,536510838;0,94;symmetric;-4,161949092;towards base
BN_05;R2;2020;3;3,5308;11,9703;2,5488;1,5446;1,6501;elongated;0,86013706;3,098348103;0,71;slightly asymmetric;-3,205430006;towards base
