Codice_azienda;N_campionamento;Anno;ID_foglia;Area_(cm3);Lunghezza_(cm);Lunghezza_(IOC);Larghezza_(cm);Larghezza_(IOC);Forma_(L/W);Shape (IOC);Circolarità;Rotondità;Perimetro_(cm);Aspect_ratio;Irregolarità_contorno
AV_01;R2;2020;P1R1;4,01;5,9;medium;1,09;medium;5,41;medium;0,15;2,99;12,25;5;0,49
AV_01;R2;2020;P1R2;2,82;5,32;medium;0,81;narrow;6,57;lanceolate;0,13;3,39;10,93;6,25;0,46
AV_01;R2;2020;P1R3;2,86;5,94;medium;0,85;narrow;6,99;lanceolate;0,1;4,18;12,21;7,43;0,49
AV_01;R2;2020;P1R4;2,81;5,78;medium;0,78;narrow;7,41;lanceolate;0,11;3,99;11,83;7,26;0,42
AV_01;R2;2020;P1R5;2,35;5,41;medium;0,67;narrow;8,07;lanceolate;0,1;4,22;11,12;8,24;0,63
AV_01;R2;2020;P1R6;1,96;4,67;short;0,79;narrow;5,91;medium;0,11;3,85;9,71;6,14;0,72
AV_01;R2;2020;P1R7;2,67;5,11;medium;0,82;narrow;6,23;lanceolate;0,13;3,34;10,55;5,97;0,47
AV_01;R2;2020;P1R12;3,88;6,59;medium;0,92;narrow;7,16;lanceolate;0,11;3,77;13,52;6,53;0,44
AV_02;R2;2020;P1R1;2,66;5,22;medium;0,88;narrow;5,93;medium;0,12;3,48;10,76;5,9;0,46
AV_02;R2;2020;P1R2;2,36;4,98;short;0,77;narrow;6,47;lanceolate;0,12;3,54;10,23;6,33;0,29
AV_02;R2;2020;P1R3;2,37;4,37;short;0,87;narrow;5,02;medium;0,16;2,82;9,14;4,81;0,88
AV_02;R2;2020;P1R4;1,49;3,88;short;0,64;narrow;6,06;lanceolate;0,13;3,41;7,97;5,93;0,38
AV_02;R2;2020;P1R5;1,9;4,64;short;0,73;narrow;6,36;lanceolate;0,11;3,9;9,61;6,07;0,42
AV_02;R2;2020;P1R6;2,18;4,7;short;0,8;narrow;5,88;medium;0,13;3,47;9,72;5,69;0,93
AV_02;R2;2020;P1R7;1,9;4,02;short;0,73;narrow;5,51;medium;0,15;2,92;8,33;5,09;0,72
AV_02;R2;2020;P1R8;2,16;4,11;short;0,87;narrow;4,72;medium;0,16;2,74;8,6;4,43;0,7
AV_03;R2;2020;P1R1;3,88;6,11;medium;0,97;narrow;6,3;lanceolate;0,13;3,38;12,81;5,8;1,56
AV_03;R2;2020;P1R2;2,88;5,42;medium;0,86;narrow;6,3;lanceolate;0,12;3,44;11,14;6,16;0,27
AV_03;R2;2020;P1R3;2,53;5,23;medium;0,79;narrow;6,62;lanceolate;0,12;3,65;10,75;6,09;0,37
AV_03;R2;2020;P1R4;2,49;5,27;medium;0,75;narrow;7,03;lanceolate;0,11;3,75;10,81;6,5;0,56
AV_03;R2;2020;P1R5;2,95;5,86;medium;0,83;narrow;7,06;lanceolate;0,11;3,91;12,02;6,84;0,33
