Codice_azienda;Azienda;Sede_aziendale;Provincia;Comune_appezzamento;Areale;Foglio_particella;UTM_33T_E;UTM_33T_N;Cultivar_principale;Tecnico_rilevatore
SA_01;Az.Agr.Perretta_Nicola;Auletta;SA;Auletta;Tanagro;5_172-179;534366;4492689;Frantoio;Valerio_Bacco
SA_02;Az.Agr.La_Giarla;Buccino;SA;Buccino;Tanagro_zona_alta;24_79-80-338-416;533400;4497729;Carpellese;Valerio_Bacco
SA_03;Az.Agr.Candela_Giuseppe;Buccino;SA;Buccino;Tanagro_zona_bassa;43_188-189;532691;4496036;Frantoio;Valerio_Bacco
SA_04;Az.Agr.Abbamonte_Carlo;Caggiano;SA;Polla;Tanagro;35_59-66-79-80-81;544846;4482954;Frantoio;Valerio_Bacco
SA_05;Az.Agr.Tartaglia_Donata;Colliano;SA;Valva;Alto_e_medio_sele;22_177-28-29-98;521212;4507190;Frantoio;Valerio_Bacco
SA_06;Az.Agr.Antonaglia_Giovanni;Aquara;SA;Aquara;Alburni;14_58-59-185;521032;4478595;Nostrale;Anna_Maura_Marino
SA_07;Az.Agr.Sarraino_Giuseppe;Roccadaspide;SA;Roccadaspide;Calore_Salernitano;15_198-218-22;516478;4478170;Rotondella;Anna_Maura_Marino
SA_08;Az.Agr.Bianco_Erika;Stella_Cilento;SA;Stella_Cilento;Cilento_alto;6_60-59-601;508226;4453305;Salella;Anna_Maura_Marino
SA_09;Az.Agr.Carbone_Antonio;Roccagloriosa;SA;Roccagloriosa;Cilento_basso;26_6-173;538815;4440839;Pisciottana;Anna_Maura_Marino
SA_10;Az.Agr.Petolicchio_Angelo;Giffoni_Valle_Piana;SA;Giffoni_Valle_Piana;Monti_Picentini;44_1512;494229;4507338;Rotondella;Valerio_Bacco
AV_01;Az.Agr.Fontana_Madonna;Ariano_Irpino;AV;Ariano_Irpino;Areale_Arianese;48_28-681;510323;4557605;Ravece;Vincenzo_Gennarelli
AV_02;Az.Agr.Case_d'alto;Grottaminarda;AV;Flumeri;Areale_della_Baronia;30_2-53-251;512510;4545860;Ravece;Vincenzo_Gennarelli
AV_03;Az.Agr.Pepe_Francesco;Luogosano;AV;Luogosano;Areale_del_Calore;3_229-231-232-235;499556;4537925;Marinese;Vincenzo_Gennarelli
AV_04;Az.Agr.Biancaniello;Torella_dei_Lombardi;AV;Torella_dei_Lombardi;Valle_Alto_Calore;19_414;507847;4529961;Ravece;Vincenzo_Gennarelli
AV_05;Az.Agr.Palluotto_Nicola;San_Martino_Valle_Caudina;AV;San_Martino_Valle_Caudina;Valle_Caudina;5_337-353-995;473805;4544030;Ortice;Vincenzo_Gennarelli
CE_01;Az.Agr.Badevisco;Sessa_Aurunca;CE;Sessa_Aurunca;Sessano;49_142-145-138-139;411556;4568528;Sessana;Antonio_Cresta
CE_02;Az.Agr.Mondrone;Sant'Angelo_d'Alife;CE;Caiazzo;Matese;21_244;447014;4559860;Caiazzana;Antonio_Cresta
CE_03;Az.Agr.Terre_dell'Angelo;Piedimonte_Matese;CE;Alife;Matese;4_195;444023;4578167;Tonda_del_matese;Antonio_Cresta
BN_01;Az.Agr.Leone_Carmela;Pontelandolfo;BN;Pontelandolfo;Titerno;11_120-121;473722;4572164;Ortice;Corrado_Guerrera
BN_02;Az.Agr.Longo_Pasquale;San_Lorenzello;BN;San_Lorenzello;Valle_Telesina;10_180-671-226-580;462973;4567683;Racioppella;Corrado_Guerrera
BN_03;Az.Agr.Maglione_Vittorio;Moiano;BN;Moiano;Taburno;6_688-683;460818;4548556;Frantoio;Corrado_Guerrera
BN_04;Az.Agr.De_Pasquale_Anna_Antonietta;Sannicola_Manfredi;BN;Sannicola_Manfredi;Colline_del_medio_calore;10_-530-568;486710;4549102;Ortice;Corrado_Guerrera
BN_05;Az.Agr.Rossetti_Cristofaro_Emilio;Circello;BN;Circello;Alto_Tammaro;10_395-394;482509;4580623;Ortice;Corrado_Guerrera
NA_01;Az.Agr.Crapolla;Vico_Equense;NA;Vico_Equense;Penisola_Sorrentina;2_785;452715;4502158;Minucciola;Giulio_Masini
NA_02;Az.Agr.Esposito_Pasquale-Le_Grottelle;Piano_di_Sorrento;NA;Piano_di_Sorrento;Penisola_Sorrentina;18_11;447683;4496018;Minucciola;Giulio_Masini
AV_06;Az.Agr.Rocca_Normanna;Fontanarosa;AV;Fontanarosa;Valle_del_Calore;11_764-761;502102;4540962;Ravece;Az.Agr.Rocca_Normanna
