Codice_azienda;Azienda;Descrizione;Contatti
SA_01;Az.Agr.Perretta_Nicola;"L’oleificio della società Cooperatica agricola “COLLINE DEL TANAGRO”, si trova a Pertosa   (Sa) in Via Arnaci 7, nei pressi delle “GROTTE DELL’ANGELO”, 
La nostra cooperativa e composta da 60 soci di cui tre soci sovventori e precisamente il Comune di Auletta il Comune di Pertosa e il Consorzio Provinciale olivicoltori di Salerno, ed e amministrata da un consiglio di amministrazione composto da 5 soci eletto ogni 3 anni. Attualmente il C.D.A e composto da:
PERRETTA NICOLA                  (Presidente)
SCAFFA LUIGI                           (Vice presidente)
PUCCIARELLI VINCENZA         (Vice Presidente)
LUPO ANTONIETTA                 (Consigliere)
PEPE  MARIA  ANTONIETTA  (Consigliere)         
Il nostro e un moderno impianto con macine di granito ed estrazione a freddo a ciclo continuo: tale prerogative garantiscono perfette condizioni igienico-sanitarie e l’ottenimento di un olio di alta qualità.
Una breve decantazione in contenitori di acciaio, consente una buona maturazione prima dell’imbottigliamento, in vetro e lattine di vario formato.
L’olio che  produciamo e solo extravergine a bassa acidità, ottenute da olive secolari e varietà frantoio, coltivate con metodi convenzionali e biologici.
La raccolta avviene con metodi meccanici, tra fine ottobre e fine dicembre, le olive trasportate al frantoio vengono defogliate lavate e molite entro le 24 ore.
Il miglior modo per gustarlo è a crudo su insalate, zuppa di fagioli, ma anche la frittura ne esalta l’ottima qualità. Inoltre è da sempre utilizzato per conservare gli alimenti , tra cui salumi ed ortaggi, in special modo il rinomato “Carciofo Bianco” che viene coltivato sull’intero territorio dei comuni di Auletta, Caggiano, Pertosa e Salvitelle.
La Soc. Coop. Agricola “Colline del Tanagro” da anni sta’ realizzando,  grazie  al Consorzio Provinciale Olivicoltori - C.P.O. Via Vincenzo Dono, 18/C 84128 SALERNO Tel:089/724445 - Fax: 089/712598  Email: ulivicoltorisalerno@virgilio.it PEC: ulivicoltorisalerno@pec.it, ai sensi del Reg. CE 867/08, iniziative progettuali tese al miglioramento della qualità dell’olio extravergine di oliva.";Tel./Fax 0975/397243 Cell. 329/9431896 Sito www.collinedeltanagro.it  Mail: collinedeltanagro@libero.it.
SA_02;Az.Agr.La_Giarla;"In uno dei più suggestivi paesi della Provincia di Salerno, Buccino, tra il fiume Tanagro e la vetta appenninica del Carpenino, in località San Mauro, sorge l'azienda agricola La Giarla. I terreni dello stesso si estendono per circa 10 ettari coltivati prevalentemente a ulivo dai quali si ottiene un ottimo olio extra vergine di oliva. Tutta la zona del suggestivo territorio del Tanagro, da sud dove si trovano i Comuni della zona bassa come Auletta, Pertosa, Salvitelle e Caggiano e a nord dove vi sono invece i Comuni di Buccino, San Gregorio Magno, Romagnano al Monte, Ricigliano e Palomonte, è una zona ricca di storia e cultura, caratterizzata dalla presenza di siti archeologici rinomati ( Museo e Parco archeologico di Volcei/Buccino), di elementi speleologici rilevanti (Grotte dell'Angelo di Pertosa e Auletta) e da un patrimonio olivicolo secolare di massima rilevanza. Il tutto avvalorato dalla presenza di tre fiumi (Tanagro, Bianco e Platano) che per la purezza delle loro acque sono divenuti patrimonio naturale regionale ""Riserva Naturale foce Sele-Tanagro"". Immediatamente raggiungibile è il comune di Buccino, attuale nome dell'antica Volcei: è stata meta di insediamenti romani caratterizzati da imponenti villaggi nei quali venivano edificate importanti ville e la cui principale forma di sostentamento proveniva dalla terra; Su questo colle a 600 metri sul mare, la storia ha lasciato tracce importanti. La millenaria Volcei, oggi Buccino viene riscoperta dopo il sisma del 1980; dalle case e dalle vie del centro storico lacerate dal sisma, emersero muri, strade, pavimenti e iscrizioni.Servizi: l'agriturismo offre un tipo di alimentazione che rivolge particolare attenzione al gusto e soprattutto alla salute prediligendo verdure fresche, ortaggi, frutta di stagione, legumi e cereali. Lo chef ogni giorno prepara piatta tipici della tradizione campana.";
SA_03;Az.Agr.Candela_Giuseppe;Nella splendida cornice di Buccino, alle porte del Parco nazionale del Cilento, sorge l’azienda agricola Candela. Qui sono presenti due filiere produttive importanti, la filiera dell’olio dalle olive al frantoio, la filiera del pane dal grano alla produzione secondo tradizione antica e all’insegna della tracciabilità. Inoltre produce ortaggi che lavora e confeziona sottolio.Trasforma olive proprie, ottenute da agricoltura integrata, nel periodo novembre-gennaio. E’ a gestione esclusivamente familiare, senza ricorrere all’acquisizione di manodopera all’esterno neanche stagionalmente. E’ localizzata nei pressi di siti archeologici e religioso-culturali molto importanti (Parco Archeologico Antica Volcei di Buccino, Grotte dell’Angelo Pertosa). Ha uno spaccio aziendale nel Comune di Buccino.;CONTATTO Giuseppe Candela E-MAIL az.agr.candela@alice.it TELEFONO 0828/951812 CELLULARE 338/1766550
SA_04;Az.Agr.Abbamonte_Carlo;;
SA_05;Az.Agr.Tartaglia_Donata;;
SA_06;Az.Agr.Antonaglia_Giovanni;;
SA_07;Az.Agr.Sarraino_Giuseppe;;
SA_08;Az.Agr.Bianco_Erika;;
SA_09;Az.Agr.Carbone_Antonio;;
SA_10;Az.Agr.Petolicchio_Angelo;;
AV_01;Az.Agr.Fontana_Madonna;;
AV_02;Az.Agr.Case_d'alto;;
AV_03;Az.Agr.Pepe_Francesco;;
AV_04;Az.Agr.Biancaniello;;
AV_05;Az.Agr.Palluotto_Nicola;;
CE_01;Az.Agr.Badevisco;;
CE_02;Az.Agr.Mondrone;;
CE_03;Az.Agr.Terre_dell'Angelo;;
BN_01;Az.Agr.Leone_Carmela;;
BN_02;Az.Agr.Longo_Pasquale;;
BN_03;Az.Agr.Maglione_Vittorio;;
BN_04;Az.Agr.De_Pasquale_Anna_Antonietta;;
BN_05;Az.Agr.Rossetti_Cristofaro_Emilio;;
NA_01;Az.Agr.Crapolla;;
NA_02;Az.Agr.Esposito_Pasquale-Le_Grottelle;;
AV_06;Az.Agr.Rocca_Normanna;;
