Codice_azienda;N_campionamento;Anno;N_oliva;Volume_(cm3);Area_superficie_(cm2);Lunghezza_(mm);Larghezza_(mm);Forma_(L/W);Sfericità;Volume_mesocarpo_(cm3)
AV_01;R2;2020;1;4,012236825;14,12151543;26,43250557;16,31;1,620631856;0,86469018;3,571062051
AV_01;R2;2020;2;2,469783375;9,994012673;22,44592456;14,49;1,549063117;0,88413138;2,091749855
AV_01;R2;2020;3;2,944612724;11,38916495;24,0007877;15,12;1,587353684;0,87232375;2,521368438
AV_02;R2;2020;1;4,057316072;14,26994096;27,91786168;15,75;1,772562646;0,86209378;3,616381983
AV_02;R2;2020;2;4,16416656;14,23298094;26,71730005;16,8;1,590315479;0,87944156;3,735046406
AV_02;R2;2020;3;3,951749494;13,88001904;25,39462241;17,15;1,480736;0,87087068;3,513016822
AV_03;R2;2020;1;2,491514148;9,959639106;21,52166436;14,848;1,449465542;0,89237918;2,019232263
AV_03;R2;2020;2;2,557348446;10,1541335;21,51125847;15,296;1,406332274;0,89063794;2,004110366
AV_03;R2;2020;3;2,126452607;9,016029176;20,3496781;13,824;1,472054261;0,88696392;1,723124252
AV_04;R2;2020;1;4,507583485;15,01352408;28,15099306;17,361755;1,621437064;0,87894965;3,798666155
AV_04;R2;2020;2;3,966904081;13,85505477;26,99126052;16,22757;1,663296509;0,87466888;3,512148519
AV_04;R2;2020;3;3,546251283;12,73498825;25,21759139;16,22757;1,553996772;0,88307701;3,054363802
AV_05;R2;2020;1;2,301906125;9,519504724;20,09845352;14,656;1,371346447;0,88564874;1,799284737
AV_05;R2;2020;2;2,273456456;9,441092227;20,46896253;14,336;1,427801516;0,88563134;1,850659207
AV_05;R2;2020;3;2,014210108;8,669333967;20,05957071;13,76;1,457817639;0,88968221;1,560594551
AV_06;R2;2020;1;2,23894768;9,276963316;21,12787695;14,336;1,473763738;0,89215624;1,938476844
AV_06;R2;2020;2;2,017622306;8,759563776;20,32149126;13,632;1,490719723;0,88151199;1,643967613
AV_06;R2;2020;3;2,032029923;8,678817071;19,38871495;14,144;1,370808467;0,89394402;1,768185236
BN_01;R2;2020;1;3,517894429;12,85936912;26,07205569;15,75;1,655368615;0,86986728;3,050684998
BN_01;R2;2020;2;3,382021903;12,62195951;27,67885546;15,4;1,797328277;0,86326;2,795425324
BN_01;R2;2020;3;2,709162791;10,78691223;24,05927677;14,42;1,668465796;0,87125185;2,162419976
BN_02;R2;2020;1;2,085603125;8,975819824;20,91178735;13,58;1,539895976;0,87949042;1,644653532
BN_02;R2;2020;2;2,624556024;10,651749;23,41854171;14,7;1,593098076;0,86384091;2,029109081
BN_02;R2;2020;3;2,159971085;9,234876851;21,21706836;13,51;1,570471381;0,87502066;1,690695875
